season,team_code,division
2022,COL,red
2022,HW,red
2022,RMMR,red
2022,WPPI,red
2022,MBKM,red
2022,CV,red
2022,POQ,white
2022,WO,white
2022,GWRA,white
2022,KCD,white
2022,WYCC,white
2022,JRCC,white
2022,WW,blue
2022,GG,blue
2022,RRST,blue
2022,BW,blue
2022,BLMA,blue
2022,NHM,blue
2022,EL,blue
